TIMESTAMP,COUNTRY,ENTERPRISE,MOMENTUM,STATUS,P/E,MARGIN
2026-06-19 10:53:15,USA,Tesla,-5.81%,STABLE,45.2x,12%
2026-06-19 10:53:15,TWN,TSMC,+28.35%,STABLE,22.1x,38%
2026-06-19 10:53:15,USA,Walmart,-7.15%,STABLE,25.1x,3%
2026-06-19 11:33:36,KOR,SK Hynix,+207.73%,STABLE,15.4x,11%
2026-06-19 11:33:36,KOR,Samsung,+109.78%,STABLE,14.1x,8%
2026-06-19 11:33:36,SAU,Saudi Aramco,+6.23%,STABLE,16.5x,42%
2026-06-19 11:33:36,USA,Apple,+8.99%,STABLE,28.1x,26%
2026-06-19 11:33:36,USA,AMD,+151.61%,STABLE,34.1x,11%
2026-06-19 11:33:36,USA,Amazon,+18.09%,STABLE,38.0x,10%
2026-06-19 11:33:36,NLD,ASML,+36.80%,STABLE,36.5x,28%
2026-06-19 11:33:36,USA,Broadcom,+21.08%,STABLE,26.4x,22%
2026-06-19 11:33:36,USA,Berkshire,-2.17%,STABLE,19.8x,15%
2026-06-19 11:33:36,USA,Alphabet,+15.67%,STABLE,24.2x,27%
2026-06-19 11:33:36,USA,JPMorgan,+2.70%,STABLE,12.2x,33%
2026-06-19 11:33:36,USA,Eli Lilly,+7.54%,STABLE,55.4x,21%
2026-06-19 11:33:36,USA,Meta Platforms,-13.79%,REVIEW,23.9x,32%
2026-06-19 11:33:36,USA,Microsoft,-7.79%,STABLE,31.5x,35%
2026-06-19 11:33:36,USA,Micron,+203.94%,STABLE,20.2x,14%
2026-06-19 11:33:36,USA,NVIDIA,+11.88%,STABLE,32.4x,55%
2026-06-19 11:33:36,CHN,Tencent,-19.70%,REVIEW,18.2x,29%
2026-06-19 11:33:36,USA,Tesla,-5.81%,STABLE,45.2x,12%
2026-06-19 11:33:36,TWN,TSMC,+28.35%,STABLE,22.1x,38%
2026-06-19 11:33:36,USA,Walmart,-7.15%,STABLE,25.1x,3%
